question_id,question,opa,opb,opc,opd,ans
1120,Which of the following is not involved in MEN II syndrome -,Pituitary tumor,Medullary carcinoma of thyroid,Pheochromocytoma,Parathyroid adenoma,0
1121,Presence of >10% plasma cells with no lytic lesion and M protein in serum is seen in?,Smoldering myeloma,Multiple myeloma,Monoclonal Gammopathy of unknown significance,Non secretory Myeloma,0
1122,Linitis plastica is a feature of -a) Hiatus herniab) Chronic gastric ulcerc) Lymphoma of stomachd) Diffuse carcinoma stomach,ab,bc,bd,cd,3
1123,Which is not related to immunity ?,MPGN,PSGN,Diabetic nephropathy,IgA nephropathy,2
1124,"With regard to the malignant behavior of leiomyosarcoma, the most impoant criterion is",Blood vessel penetration by tumor cells,Tumor cells in lymphatic channels,Lymphocyte infiltration,The number of mitoses per high power field,3
1125,The most dreadful complication of Kawasaki disease is,Rash,Lymph node,Cardiac involvement,Thrombocytosis,2
1126,Increased osmotic fragility is characteristic of: September 2009,Hereditary spherocytosis,Sickle cell anemia,Thalassemia,Iron deficiency anemia,0
1127,Renal biopsy done for a patient with proteinuria is shown in this PLATE. What is the most probable diagnosis?,Renal tuberculosis,Renal amyloidosis,Renal cell carcinoma,Crescentic glomerulonephritis,1
1128,Commonest histological finding in Benign Hypeension is:,Proliferative endaeritis,Necrotizing aeriolitis,Hyaline aeriosclerosis,Cystic Medial Necrosis,2
1129,Proliferative glomerular deposits in kidney are found in,Amyloidosis,IgA nephropathy,Diabetes mellitus,Membranous glomerulonephritis,1
1130,Characteristic feature of viral pneumonias is ?,Interstitial mononuclear infiltration,Intra-alveolar proteinaceous exudate,Hyaline membrane lining alveoli,Fibrotic septa,0
1131,"During the physical examination of a newborn boy, the pediatrician notices that the urethral meatus is positioned on the lower side of the penile shaft. What is the appropriate diagnosis for this congenital birth defect?",Epispadias,Hydroureter,Hypospadias,Peyronie disease,2
1132,Edema in nephrotic syndrome is due to aEUR',Na and water restriction,Increased venous pressure,Hypoalbuminemia,Hyperlipidemia,2
1133,"During a routine physical examination, a 58-year-old white male is found to have a 6-cm pulsatile mass in his abdomen. Angiography reveals a marked dilation of his aoa distal to his renal aeries. This aneurysm is most likely the result o",Atherosclerosis,Hypeension,Trauma,A previous syphilitic infection,0
1134,`Lardaceous' spleen is seen in-,CML,Hodglcin's lymphoma,Amyloidosis,Malaria,2
1135,HMB 45 is a tumor marker for-,Neuroblastoma,Neurofibroma,Malignant melanoma,Angiosarcoma,2
1136,Which cells of the mononuclear phagocyte system are presnt in liver ?,Kupffer cells,Merkel cells,Gittle cells,Berger cells,0
1137,Misfolded amyloid deposition in brain is seen in,Creutzfeldt-jakob disease,Alzheimer's disease,HIV-encephalopathy,Gaucher's disease,1
1138,The single most important predictor of survival in multiple myeloma,IL-6 levels,Bence jones proteinuria,CD 138 positivity,Serum b2-microglobulin,3
1139,Cytogenic abnormality in synol sarcoma is:,t(x;18),t(x;21),t(11;14),t(11;22),0
1140,IL2 is secreted by?,Neutrophills,Helper T-cells,Macrophages,NK cells,1
1141,"A patient presents with respiratory symptoms, i.e. cough, hemoptysis and glomerulonephritis. His c-ANCA levels in serum were found to be raised. The most likely diagnosis is",Goodpasture’s syndrome,Classic polyarteritis nodosa,Kawasaki’s syndrome,Wegener’s granulomatosis,3
1142,"A 6-year-old girl has a blotchy, reddish-brown rash on her face, trunk, and proximal extremities that developed over the course of 3 days. On physical examination, she has 0.2-cm to 0.5-cm ulcerated lesions on the oral cavity mucosa and generalized tender lymphadenopathy. A cough with minimal sputum production becomes progressively worse over the next 3 days. Which of the following viruses is most likely to produce these findings?",Epstein-Barr,Mumps,Rubella,Rubeola,3
1143,Nephrocalcinosis in a systemic granulomatous disease is due to:,"Overproduction of 1,25 dihydroxy vitamin D",Dystrophic calcification,Mutation in calcium sensing receptors,Increased reabsorption of calcium,0
1144,"A 34-year-old man complains of sudden attacks of dizziness, blurred vision, and excruciating headaches of 4 months in duration. During one of these attacks, his blood pressure was 180/120 mm Hg. The patient's father had been treated for thyroid cancer about 15 years ago. Laboratory studies show normal serum levels of aldosterone, renin, and angiotensin. A 24-hour urinalysis reveals increased metanephrines. Episodic hypertension in this patient is most likely caused by a tumor in which of the following endocrine organs?",Adrenal,Kidney,Parathyroid,Pituitary,0
1145,"In an ablated animal, myeloid series cells are injected. Which of the following is seen after incubation period?",Fibroblast,T lymphocytes,RBC,Hematopoietic stem cell,2
1146,A patient has asymptomatic painless burrowing ulcer in the palate. He might be suffering from,Syphilis,Tuberculosis,Histoplasmosis,Actinomycosis,0
1147,Specific for GIST tumor is -,CD117,CD29,CD34,CD23,0
1148,"Each quadrant of the adult mouth holds ___ incisors, ___ canines, ___ premolars, and ___ molars.","1, 2, 3, 2","1, 2, 2, 3","2, 1, 3, 2","2, 1, 2, 3",3
1149,"A 4-year-old girl developed clumsiness and difficulty ambulating over 6 months. On physical examination, she showed difficulty with balance while walking, dysarthria, poor hand coordination, absent deep tendon reflexes, and a bilateral Babinski sign. Light touch and vibratory sensation were greatly diminished. There was no muscular weakness. Over the next 5 years, she developed congestive heart failure from hypertrophic cardiomyopathy. She also had hyperglycemia. At autopsy, there was increased perinuclear iron deposition within cardiac myocytes. Which of the following genetic abnormalities with trinucleotide repeat expansions was most likely present in this patient?",CAG repeats in the huntingtin gene,CGG repeats in the FMR1 gene,CTG repeats in the dystrophila myotonia-protein kinase gene,GAA repeats in the frataxin gene,3
1150,Adding glucose to stored blood causes?-,Prevent hemolysis,Gives nutrition to cells,Increase acidosis of blood,Prevent Hyperkalemia,1
1151,Which is not major Criteria rheumatic fever?,Carditis,Subcutaneous nodules,Increased ASLO,Ahritis,2
1152,"A 23-year-old man presents with fever, weight loss, malaise, abdominal pain and myalgias. Workup reveals that the patient has polyaeritis nodosa. Which of the following is associated with this form of vasculitis?",Arsenic,Chlamydia pneumonia,Hepatitis B virus,Human immunodeficiency virus,2
1153,Pseudopolyps are features of,Crohn's disease,Ulcerative colitis,Celiac sprue,Whipple's disease,1
1154,Biomarker to rise earliest in myocardial infarction is: March 2010,Troponin-I,Creatine kinase-MB,Myoglobin,Troponin-T,2
1155,Oral hairy leukoplakia is seen in which of the following conditions?,AIDS,Hepatitis B,Smoker's keratitis,Candidiasis,0
1156,"Autoantibodies Ani Ro and Anti La are completely absent
in",Systemic Lupus erythematosus,Sjogren's syndrome,Diffuse Scleroderma,Rheumatoid arthritis,3
1157,Greater risk of carcinoma of stomach is associated with -,Old age,Intestinal metaplasisa,Cardiac end ulcer,Prepyloric ulcer,1
1158,Enzyme deficiency in Hunter disease is:,L-iduronidase,Iduronate sulfatase,Heparan sulfamidase,Hyaluronidase,1
1159,"A 14-year-old boy presents with acute onset of right flank pain, which developed after he helped his father paint the ceiling of his bedroom. Physical examination demonstrates an area of ecchymosis in the right flank that is tender to palpation. The patient has a lifelong history of easy bruising. His brother shows the same tendency. The serum level of clotting factor VIII is less than 2% of normal. Which of the following is the most likely underlying mechanism for bleeding tendency in this patient?",Circulating antibodies directed against factor VIII,Decreased hepatic synthesis of multiple coagulation factors,Deficiency of vitamin K,Genetic defect involving the factor VIII gene,3
1160,Microarray is best characterised by,Study of organisms,Study of disease,Study of multiple genes,Study of blood group,2
1161,Marker for Hairy cell Leukemia is:,CD 30,CD 103,CD1,CD4,1
1162,"The percentage of pulmonary emboli, that proceed to an infraction, is approximate -",0-5%,5-15%,20-30%,30-40%,1
1163,"A man presents with fatigue. Hemogram analysis done suggested low Hb, high MCV. The next investigation is?",Vit B12/folatelevels,Bone Marrow,S. Iron studies,Reticulocyte count,3
1164,Aplastic anemia can progress to -a) AMLb) Myelodysplastic anemiac) Pure red cell aplasiad) Paroxysmal nocturnal hemoglobinuriae) Myelofibrosis,acd,bcd,abd,ab,2
1165,NESTROFT test is used in the screening of,Thalassemia,AIHA,Aplastic anemia,G6PD deficiency,0
1166,Example of radiation-induced cancer is -,Papillary carcinoma thyroid,Follicular carcinoma thyroid,Lymphoma,Hepatoma,0
1167,Howel-Jolly bodies may be seen after -,Hepatectomy,Splenectomy,Pancreatectomy,Cholecystectomy,1
1168,Glomerulonephritis associated with sensory neural deafness are features of -,Alport's syndrome,Nail patella syndrome,Down's syndrome,Fabry's syndrome,0
1169,"16-year-old girl with sho height, amenorrhea with widely spaced nipple. Karyotyping is;",45 X0,46 XO,47 XXX,46XY,0
1170,"7 day old MI, the most sensitive biochemical marker-",Troponin I  or Troponin T,CPK MB,LDH,Myoglobin,0
1171,"A 16-year-old female presents with primary amenorrhea and raised FSH. On examination, her height was 58 inches. What would be the histopathological finding in the ovary?",Absence of oocytes in the ovaries (streak ovaries),Mucinous cystadenoma,Psamomma bodies,Hemorrhagic Corpus Leuteum,0
1172,"In the rejection phenomenon after kidney transplant, the primary target for early immunological attack is -",Vascular endothelium,Renal papillae,Glomeruli,Proximal tubules,0
1173,Adult PCKD is?,Autosomal dominant,Autosomal recessive,X-linked recessive,Mitochondrial inheritance,0
1174,The most common condition of inherited blindness to mitochondrial chromosomal anomaly is,Retinopathy of prematurity,Leber's Hereditary optic neuropathy,Retinitis pigmentosa,Retinal detachment,1
1175,"X-ray of a patient shows the following changes: Bulbous ends of long bones, normal appositional bone growth and there is failure of physiologic root resorption. Lab ﬁnding shows myelophthisic anemia. What can be the probable diagnosis?",Fibrous dysplasia,Osteomyelitis,Osteopetrosis,Paget's disease,2
1176,Immune complexes mediated necrosis is of which type?-,Coagulative necrosis,Liquefactive necrosis,Caseous necrosis,Fibrinoid necrosis,3
1177,"""Smudge cells"" in the peripheral smear are characteristic of:",Chronic myelogenous leukemia,Chronic lymphocytic leukemia,Acute myelogenous leukemia,Acute lymphoblastic leukemia,1
1178,"What is the chance of an offspring being affected with an affected mother and normal father, in an X-linked recessive condition?",50% of daughters are carriers,50% of sons are asymptomatic carriers,50% of the off springs are carriers,Males will never be affected,0
1179,"For the past week, a 65-year-old woman has been treated for a severe infection with broad-spectrum antibiotics, and she had recovered well. Over the past day, however, she has developed foul-smelling, voluminous, greenish, watery diarrhea, as well as abdominal pain and fever. She is diagnosed with pseudomembranous colitis. Which of the following is the mechanism associated with this condition?","Aggregation of bacterial colonies on the lumen, forming pseudomembranes","Bacterial release of exotoxin, inducing necrosis of the mucosa","Physical invasion of bacteria into the superficial mucosa, leading to pseudomembrane formation",Selective killing of C. difficile bacteria by antibiotics,1
1180,Atherosclerosis initiation by fibroblast plaque is mediated by injury to-,Smooth muscle,Media,Adventitia,Endothelium,3
1181,Which of the following produces irreversible cell injury faster?,Increased cytosolic Ca2+,Decreased ATP,Ischaemia,Hypoxia,2
1182,Which one of the following disorders is autosomal recessive ?,Homocystinuria,G6PD deficiency,Myotonic dystrophy,Otospongiosis,0
1183,Tau proteins are most commonly associated with -,Alzheimer's disease,Alcoholism,Tuberculosis,Meningitis,0
1184,Most common type of lupus nephritis-,Memberanous,Mesangial,Focal proliferative,Diffuse proliferative,3
1185,Carcinoembryonic antigen is raised in which of the following non neoplastic conditions -,Hepatitis,Pancreatitis,Hemolytic anemia,Ulcerative colitis,1
1186,BRCA1 gene is located on?,Chromosome 12,Chromosome 21,Chromosome 17,Chromosome 22,2
1187,N-MYC amplification is ssociated with which tumor?,Burkitt lymphoma,Squamous cell carcinoma lung,Astrocytoma,Neuroblastoma,3
1188,Nitroblue tetrazolium test is used for-,Phagocytes,Complement,T cell,B cell,0
1189,Lacunar variant Reed Sternberg cells are Characteristic of,Nodular Sclerosis type,Lymphocyte-Rich type,Lymphocyte depletion type,Lymphocyte predominance type,0
1190,Stain for fat?,Oil red O,Sudan black,Sudan III,Congo red,3
1191,Obesity with mental retardation is seen in -,Prader-Willi syndrome,Turner syndrome,Fragile-X syndrome,Noonan syndrome,0
1192,Schilling test is performed to find out,Folic acid Level,B12 malabsorption,Pancreatic enzyme deficiency,Coronary artery disease,1
1193,NK cells have which CD marker ?-,CD 3,CD 56,CD 19,CD 13,1
1194,"A 3-year-old boy is brought by his parents to the emergency depament because they are concerned that he has had a high fever for several days. On examination, the boy has conjunctival and oral erythema. He has palpable cervical lymphadenopathy and erythema of his palms and soles. What is a potential life-threatening complication of this disorder?",Aneurysm of the abdominal aoa,Aneurysm of the coronary aeries,Dissection of the thoracic aoa,Rupture of a berry aneurysm,1
1195,Ringed Sideroblasts are seen in-,Iron deficiency anemia,Myelodysplastic syndrone,Thalassemia,Anemia of chronic disease,1
1196,Which of the following periapical conditions is often associated with a vital pulp?,Apical cyst,Apical scar,Condensing osteitis,Chronic apical periodontitis,2
1197,Firm warty vegetations along the line of apposition of heart valves is present in -,NBTE,Bacterial endocarditis,Rheumatic heart disease,Libman Sacks endocarditis,2
1198,Most common site of abscess formation due to amoeba is: September 2005,Lungs,Liver,Kidney,Brain,1
1199,"An 8-month-old boy exhibits severe motor, sensory, and cognitive impairments. Brain biopsy shows a disease of white matter characterized by the accumulation of ""globoid cells."" Biochemical studies reveal an absence of galactocerebroside b-galactosidase activity. What is the appropriate diagnosis?",Alexander disease,Hurler disease,Krabbe disease,Metachromatic leukodystrophy,2
1200,Which one of the following does NOT present antigens?,NK cells (Natural killer cells),Dendritic cells,Langerhan's cells,Macrophages,0
1201,Not a specific tumor marker is -,CD 99,HMB 45,b- globulin,CEA,3
1202,Hereditary hemorrhagic telangiectasia is seen commonly on,Lips,Buccal mucosa,Tongue,Palate,0
1203,Dissecting haematoma is a clinical complication occurring in -,Turner's syndrome,Klinefelter's syndrome,Down's syndrome,Marfan syndrome,3
1204,A 50 year old man presents at an emergency room because of several hours of progressively increasing chest pain that no longer responds to sublingual nitroglycerin. This type of angina is thought to be due to which of the following conditions?,Atherosclerosis alone,Coronary aery embolism,Coronary aery spasm,Thrombosis with or without underlying atherosclerosis,3
1205,Beta-2 microglobulin is used as a tumor marker for which of the following diseases?,Multiple myeloma,Acute lymphoblastic leukemia,Hairy cell leukemia,Lymphoplasmacytic lymphoma,0
1206,MEN syndrome is associated with increase in ?,Papillary ca of thyroid,Medullary,Follicular,Anaplastic,1
1207,Cytogenetic studies in a 40-year-old woman with follicular lymphoma demonstrate a t(14;18) chromosomal translocation involving the bcl-2 gene. Constitutive expression of the protein encoded by the bcl-2 gene inhibits which of the following processes in this patient's transformed lymphocytes?,Apoptosis,DNA excision repair,G1-to-S cell cycle progression,Oxidative phosphorylation,0
1208,"In hemodialysis associated amyloidosis, which of the following is seen",Transthyretin,"B, microglobulin",SAA,azmicroglobulin,1
1209,Tennis racket cells is seen in -,Sarcoma botyroides,Vaginal adenocarcinoma,Leiomyoma uterus,Seminoma,0
1210,Anaemia in human is caused by which worm:,Round worm,Hook worm,Strongyloides,Tape worm,1
1211,The amount of blood lost in GIT to produce a single black stool is approximately,< 20 ml,30-40 ml,60-70 ml,100-110 ml,2
1212,Low iron & low TIBC is seen in:,Anaemia of chronic disease,Sideroblasticanaemia,Iron deficiency anaemia,Aplastic anemia,0
1213,Which of the following is not associated with malignancy -,Fragile X syndrome,Fanconi's syndrome,Down's syndrome,Bloom syndrome,0
1214,Myocaditis can be caused by,Schistosomia,Ankylostoma duodenale,Trichuris trichura,Trichinella spiralis,3
1215,Endodermal sinus tumor is characterised by,Cal Exner body,Psammoma bodies,Schiller Duval bodies,Homer wright body,2
1216,Huhle cell carcinoma is a variant of ?,Medullary carcinoma,Papillary carcinoma,Follicular carcinoma,Anaplastic carcinoma,2
1217,Most common missing tooth in the permanent dentition is:,Maxillary canine,Maxillary first molar,Mandibular second premolar,Mandibular first molar,2
1218,Contraction of endothelial cytoskeleton in acute inflammation leads to,Delayed transient increase in permeability,Early transient increase in permeability,Delayed permanent increase in permeability,Early permanent increase in permeability,1
1219,"A 12-year-old girl develops fever, abdominal pain, and bloody diarrhea 1 to 2 days after eating a hamburger at a fast food restaurant. Physical examination reveals an extensive purpuric skin rash. The patient develops oliguria, and laboratory studies show elevated serum levels of BUN and creatinine. Which of the following is the most likely etiologic agent responsible for this patient's condition?",Campylobacter jejuni,Escherichia coli 0157-H7,Salmonella typhi,Shigella dysenteriae,1
1220,HLA-B27 is associated with -,Ankylosing spondylitis,Rheumatoid arthritis,Chronic active hepatitis,Diabetes,0
1221,"A 38-year-old male presents with increasing weakness and is found to have a markedly elevated peripheral leukocyte count. Laboratory testing on peripheral blood finds a decreased leukocyte alkaline phosphatase (LAP) score, while chromosomal studies on a bone marrow aspirate find the presence of a Philadelphia chromosome. This abnormality refers to a characteristic chromosomal translocation that involves the oncogene",bcl-2 erb-B,c-abl,c-myc,erb-B,1
1222,Donovan bodies are associated with-,Gonorrhoea,Herpes genitalia,Chlamydia trachomatis infection,Granuloma inguinale,3
1223,"case history of peripheral smear is showing hypersegmented neutrophils , this is due to deficiency of",vit B12 deficiency,folate deficiency,iron deficiency,thalasemia,0
1224,Which among the following pair of oncogenes is activated by translocation?,SIS and HST-1,HGF and L-MYC,TGF and CDK-4,ABL and C-MYC,3
1225,Exudative retinal detachment is seen in?,High myopia,Pre eclampsia,Chorioretinal degeneration,Penetrating injuries to the eye,1
1226,Delayed eruption of teeth occurs in,Craniofacial dysostosis,Hyperthyroidism,Cleidocranial dysostosis,Osteitis deformans,2
1227,Chronic active hepatitis seen in -,Methyldopa,Oestrogen,Erythromycin,Tetracycline,0
1228,Atheromatous plaque does not contain,Cholestrol crystals,Neutrophils,Smooth muscle fibres,Monocytes,1
1229,The expression of the following oncogene is associated with a high incidence of Medullary carcinoma of thyroid -,P53,Her2/neu,RET proto-oncogene,Rb gene,2
1230,Hemolytic crisis in hereditary spherocytosis is precipitated by,Parvovirus B19 infection,Infectious mononucleosis,Human T-cell leukemia virus,Cytomegalovirus,0
1231,The MOST impoant risk factor for pancreatic cancer among the following is:,Cigarette smoking,Chronic pancreatitis,Diabetes,Alcohol,0
1232,Spider-leg sign on IVP is suggestive of: March 2010,Pyelonephritis,Renal aery stenosis,Polycystic kidney disease,Bilateral hydronephrosis,2
1233,Annexin Visa marker of,Apoptosis,Necrosis,Aherosclerosis,Inflammation,0
1234,The earliest manifestation of cell injury is:,Vasoconstriction,Increased vascular permeability,Phagocytosis,Apoptosis,0
1235,Endogenous chemoattractant is:,C5a,Bacterial products,Lipopolysaccharide A,C8,0
1236,"Toll like receptors, recognize bacterial products and stimulates immune response by -",Perforin and granzyme mediated apoptosis,FADD ligand apoptosis,Transcriptions of nuclear factor mediated by NFKb which recruits cytokines,Cyclin,2
1237,In malignant hypehermia the increased heat production is due to :,Increased muscle metabolism by excess of calcium ions,Thermic effect of food,Increased sympathetic discharge,Mitochondrial thermogenesis,0
1238,"In Prader Willi syndrome, which of the following is increased?",LH,FSH,Growth hormone,Ghrelin,3
1239,Acute non-suppurative sialdenitis is seen in:,Acute bacterial sialadenitis,Mumps,Chronic bacterial sialadenitis,Necrotizing sialometaplasia,1
1240,The most common mediastinal tumor is-,Neurogenic tumor,Pericardial cyst,Hernia,Teratoma,0
1241,Dohle bodies seen in neutrophils of patients suffering from sepsis are-,Golgi complexes,Toxic granules,Dilated endoplasmic reticulum,Degenerated mitochondria,2
1242,Highest incidence of pneumothorax occurs when branchial plexus is blocked by which route,Interscalene,Supraclavicular,Infraclavicular,Axillary,1
1243,“Smudge cells” in the peripheral smear are characteristic of:,Chronic myelogenous leukemia,Chronic lymphocytic leukemia,Acute myelogenous leukemia,Acute lymphoblastic leukemia,1
1244,Dohle bodies are seen in-,Multiple myeloma,May-Hegglin anomaly,Waldenstorm Macroglobulinemia,Lymphoma,1
1245,Hurthle cells are found in -,Medullary carcinoma thyroid,Papillary carcinoma thyroid,Follicular adenoma thyroid,Pituitary adenoma,2
1246,CD8 cell -,T-cells,B-cells,Null cells,Macrophages,0
1247,Antoni A and Antoni B areas and verocay bodies are characteristic of _____,Schwannoma,Astrocytoma,Medulloblastoma,Glioma,0
1248,The cause of the severe hemorrhage in Acute Promyelocytic Leukemia is?,Disseminated intravascular coagulation,Immune complex deposits on blood vessels,Thrombocytopenia,Thrombocytosis,0
1249,Primary lesion in lichen planus is:,Macule,Papule,Vesicle,Bulk,1
1250,Which antibodies in mother with SLE is responsible for congenital hea disease in child?,Anti-histone,Anti-Ro & Anti-LA,Anti ds DNA,Anti-centromere,1
1251,TH2 cells secrete?,IL-2,IFN-g,IL-5,TNF-a,2
1252,Which among the following is a highly sensitive marker for carcinoma?,Cytokeratin,Vimentin,CD45,Calretinin,0
1253,A study of risk factors for atherogenesis in adults is performed. Chemical factors are found that are associated with a reduction in serum cholesterol. Which of the following substances is most likely to reduce serum cholesterol?,C-reactive protein,Homocysteine,Lipoprotein(a),Omega-3 fatty acids,3
1254,Most characteristic feature of acute inflammation:,Vasoconstriction,Vascular stasis,Vasodilatation and increased vascular permeability,Margination of leucocytes,2
1255,The most striking haematological finding in agranulocytosis is,Decreased absolute neutrophil count,Increased absolute easinophil count,Decreased absolute hasophil count,Increased absolute monocyte count,0
1256,"A 50-year-old woman presents with lower back pain of 3 weeks in duration. Radiologic studies reveal several discrete lytic lesions in the lumbar back and pelvis. Laboratory studies show elevated serum levels of alkaline phosphatase. Serum calcium, serum protein, and peripheral blood smears are normal. Aspiration biopsy of a pelvic lesion shows keratin-positive cells. Which of the following is the most likely diagnosis?",Chondrosarcoma,Metastatic carcinoma,Osteochondroma,Osteosarcoma,1
1257,Renal papillary necrosis is almost always associated with one of the following conditions -,Diabetes-mellitus,Analgesic-nephropathy,Chronic pyelonephritis,Post streptococcal GN,1
1258,Which of the following type of necrosis is seen in blood vessel,Coagulative necrosis,Liquefactive necrosis,Caseous necrosis,Fibrinoid necrosis,3
1259,Pneumatosis intestinalis is diagnostic of -,Ileal perforation,Necrotizing enterocolitis,Meconium ileus,Colonic aganglionosis,1
1260,Clavicle is absent in:,Osteogenesis imperfecta,Cleidocranial dysostosis,Fibrous dysplasia,Osteopetrosis,1
1261,Type of inheritance in MEL ASAI,Mitochondrial,AD,AR,X-linked,0
1262,Birbeck granules in the cytoplasm are seen in ?,Mast cells,Langerhan's cells,Thrombocytes,Myelocytes,1
1263,Which one of the following for management of Enuresis has least chances of relapse?,Oxybutynin,Desmopressin,Bed Alarm,Imipramine,2
1264,Platelet is stored in -,22 ± 2°C,- 4°C,- 2°C,- 20°C,0
1265,VIRCHOW's cells are seen in:,Lepromatous leprosy,Tuberculoid leprosy,Borderline lepromatous leprosy,Intermediate leprosy,0
1266,Granular cell myoblastoma of tongue is,Benign tumor,Malignant tumor of the tongue,Lymphatic enlargement of the tongue,Developmental anomaly of the tongue,0
1267,Ulceration of Peyer's patches occur in _________ infection,Amoebiasis,Crohn's,Salmonella,Clostridium difficile,2
1268,Toxic megacolon is most commonly associated with,Ulcerative colitis,Crohn's disease,Whipple's disease,Reiter's disease,0
1269,Serum marker of rickets is,Acid phosphates,Alkaline phosphatase,Decreased serum calcium,Urinary posphates,1
1270,A 45-year-old woman with longstanding Crohn disease and severe fat malabsorption experiences a fracture of the femoral neck after a minor contusion. This woman most likely has a deficiency of which of the following vitamins?,Vitamin B1 (thiamine),Vitamin C,Vitamin D,Vitamin K,2
1271,Shock is a circulatory disturbance characterized by,Increased blood pressure,Decreased volume of circulating blood,Elevated body temperature,Decreased volume of interstitial fluid,1
1272,Neuroendocrine tumor is having which of the following as an immunohistochemical marker?,Cytokeratin,Calretin,Synaptophysin,Carcinoembryonic antigen,2
1273,HLA B5I is associated with -,Behcet's disease,Chrug strauss syndrome,Microscopic polyangitis,Polyarteritis nodosa,0
1274,Bronchogenic carcinoma commonly metastasise to which endocrine organ -,Ovaries,Testes,Thyroid,Adrenals,3
1275,Which is the earliest histopathological change in myocardial infarction?,Stretching and waviness of fibers,Neutrophilic infiltration,Coagulative necrosis,Fibrovascular response,0
1276,Which of the following does not indicate megaloblastic anemia?,Increased reticulocyte count,Raised Bilirubin,Mild splenomegaly,Nucleated RBC,0
1277,Factors affecting sickling in sickle cell anemia are -,HbS concentration,HbA,pH,Oxygenation,0
1278,"A 19-year-old female with sho stature, wide spread nipples and primary amenorrhea most likely has a karyotype of: (AI 2003)","47, XX + 18","46, XXY","47, XXY",45 X0,3
1279,Which is not seen in polycythemia vera,Increased Vit B12 binding capacity,Increased erythropoietin level,Increase RBC count,Ocular congestion,1
1280,Patau syndrome due to -,Trisomy 21,Trisomy 13,18 P,Trisomy 18,1
1281,NESTROF test is used in screening of -,Thalassemia,Autoimmune hemolytic anemia,Spherocytosis,G6PD deficiency,0
1282,A 35-year-old man undergoes gastrectomy for gastric carcinoma. Gross examination of the resected stomach reveals diffuse thickening without a discrete mass lesion. Microscopic exam shows an infiltration of signet-ring cells dispersed singly. Family history reveals that his father had a similar cancer at a young age. What gene is most likely to be mutated in this patient and his father?,APC,CDH1,PMS2,p53,1
1283,Which of the following cytoplasmic structures contains fragmented mitochondria?,Pinocytotic vacuoles,Primary lysosomes,Heterophagosomes,Autophagosomes,3
1284,Centrilobular necrosis in the liver is due to -a) Halothaneb) Chronic venous congestionc) Yellow feverd) Hemorrhagic shock,acd,bcd,abd,ab,2
1285,Most common site of lymphangioma is -,Axilla,Head and Neck,Groin,Heart,1
1286,Which of the following is not an Autosomal dominant disorder?,Polycystic kidney disease,EDS,Osteogenesis imperfecta,Alkaptonuria,3
1287,"A 28-year-old man is evaluated for recurrent peptic ulcer disease, apparently refractory to pharmacologic intervention. Serum gastrin is markedly elevated. These findings are most characteristic of which of the following?",Cushing syndrome,Glucagonoma,Whipple triad,Zollinger-Ellison syndrome,3
1288,"A newborn baby presented with profuse bleeding from the umbilical stump after bih. Rest of the examination and PT, APTT are within normal limits. Most probable diagnosis is -",Factor X deficiency,Glanzmann thrombasthenia,Von willebrand disease,Bernad soulier disease,1
1289,Posterior atrophic candidiasis is also known as:,Geographic tongue,Median rhomboid glossitis,Black hairy tongue,Hemifacial atrophy,1
1290,"A 26-year-old woman has a lumps in her left breast. On physical examination, she has an irregular, firm, 2-cm mass in the upper inner quadrant of the breast. No axillary adenopathy is noted. A fine-needle aspirate of the mass shows anaplastic ductal cells. The patient's 30-year-old sister was recently diagnosed with ovarian cancer, and 3 years ago her maternal aunt was diagnosed with ductal carcinoma of the breast and had a mastectomy. Mutation involving which of the following genes is most likely present in this family?",BCL2 (anti-apoptosis gene),BRCA1 (DNA repair gene),ERBB2 (growth factor receptor gene),HST1 (fibroblast growth factor gene),1
1291,Mutations in COL 4A5 gene manifests as -,Alport's syndrome,HNPCC,Good pasture,Vitiligo,0
1292,Examine this pedigree cha carefully. What type of transmission does it depict?,AD Inheritance,AR Inheritance,X linked recessive,Holandric inheritance,3
1293,An enzyme that protects the brain from free radical injury is -,Myeloperoxidase,MAO,Superoxide dismutase,Hydroxylase,2
1294,Most common type of class II mutation in cystic fibrosis is,Missense mutation,Frameshift,Non sense,Deletion,3
1295,"A young patient is hospitalized with petechiae of oral mucous membrane, marginal gingival hemorrhage and with a platelet count of 45,000/ cc. The BT and Clot Retraction time are increased, RBC and TLC are normal. He is suffering from:",Infectious mononucleosis,Thrombocytopenic purpura,Leukemia,Hemophilia,1
1296,macrophage in the brain is,Schwann cells,Oligodendrocytes,Astrocytes,Microglia,3
1297,Which is the most potent chemotactic complement?,C5b,C5a,C4a,C2b,1
1298,A 32-year-old woman has been attempting to become pregnant for the past 2 years without success. She also has had extremely painful menstrual cramping of many years' duration. An exploratory laparoscopy demonstrated multiple red-blue nodules covering the surface of her ovaries and uterine ligaments. These findings are most likely indicative of which of the following conditions?,Adenomyosis,Endometrial hyperplasia,Endometriosis,Leiomyoma,2
1299,Cytokines are secreted in sepsis and Systemic Inflammatory Response syndrome (SIRS) by -,Neutrophils,Adrenal,Platelets,Collecting duct,0
1300,Karyotype in Kleinfilters syndrome is:,47XXY,45X0,46XXY,45XXX,0
